x,y,theta,v_desired,omega_desired,v_safe,omega_safe
[0.48325002],[2.79482539],[-2.76102505],0.4217752871417587,1.2264156737412728,1.12251e-09,0.785398
[0.48325002],[2.79482539],[-2.60394541],0.40107802027266687,1.5273810768890153,-1.49448e-10,0.785398
[0.48325002],[2.79482539],[-2.44686578],0.011841016157853223,-0.1264893026485261,-1.04408e-07,-0.126489
[0.48325003],[2.7948254],[-2.47216364],0.40953773872013755,-2.6116423249029923,1.03807e-07,-0.785398
[0.48325002],[2.79482539],[-2.62924328],0.06680792609827581,-1.1339527133970302,-1.38034e-05,-0.785396
[0.48325242],[2.79482674],[-2.78632238],0.1585739835555448,3.1404716585179164,1.37124e-05,0.785398
[0.48324985],[2.79482579],[-2.62924275],0.292840150033642,0.6123581609345172,3.63117e-09,0.612358
[0.48324985],[2.79482579],[-2.50677112],0.1341177683455437,0.9918024293205745,-5.00038e-09,0.785398
[0.48324985],[2.79482579],[-2.34969148],0.12240116943322356,-0.9543351289255635,-4.75063e-10,-0.785398
[0.48324985],[2.79482579],[-2.50677112],0.1295328143198728,1.4935442560145855,1.09996e-10,0.785398
[0.48324985],[2.79482579],[-2.34969148],0.09771076850170331,1.087233155825075,-2.88972e-09,0.785398
[0.48324985],[2.79482579],[-2.19261185],0.10436469174073727,1.296159011694007,1.97528e-09,0.785398
[0.48324985],[2.79482579],[-2.03553221],0.35242794204732836,-0.3067164827464466,1.01896e-08,-0.306716
[0.48324985],[2.79482579],[-2.09687551],0.5478526625177592,2.464848198518254,1.06972e-09,0.785398
[0.48324985],[2.79482579],[-1.93979588],0.3196365148419535,-1.5185381991480877,-1.30061e-09,-0.785398
[0.48324985],[2.79482579],[-2.09687551],0.2785600217580917,-0.9062649116089907,-1.07346e-09,-0.785398
[0.48324985],[2.79482579],[-2.25395514],0.05675660890443785,0.3487913693362543,-3.51866e-08,0.348791
[0.48324986],[2.79482579],[-2.18419687],0.4972295049224406,-0.19730717962889788,3.836e-08,-0.197307
[0.48324985],[2.79482579],[-2.22365831],0.335084128139357,2.584782739033195,-1.26586e-09,0.785398
[0.48324985],[2.79482579],[-2.06657867],0.5341124313398781,-1.8044631264105437,1.79019e-09,-0.785398
[0.48324985],[2.79482579],[-2.22365831],0.049393195666270026,2.863623581318527,-7.09785e-09,0.785398
[0.48324985],[2.79482579],[-2.06657867],0.13155235688354897,1.6055652932428783,6.86349e-10,0.785398
[0.48324985],[2.79482579],[-1.90949904],0.14468772625226747,-1.6887468446277296,2.32361e-09,-0.785398
[0.48324985],[2.79482579],[-2.06657867],0.18104393956457593,-1.6889948085828088,6.39865e-10,-0.785398
[0.48324985],[2.79482579],[-2.22365831],0.4989536906216417,1.1756116990129097,3.72379e-09,0.785398
[0.48324985],[2.79482579],[-2.06657867],0.002837963495161788,3.015418610179035,-5.34539e-07,0.785398
[0.4832499],[2.79482588],[-1.90949904],0.42399132665812755,0.003281007441956696,6.21154e-07,0.003281
[0.48324986],[2.79482576],[-1.90884284],0.2593070748029409,0.9281875242522837,-1.85539e-09,0.785398
[0.48324986],[2.79482576],[-1.75176321],0.2958626709978044,-2.844651850203178,1.6649e-09,-0.785398
[0.48324986],[2.79482576],[-1.90884284],0.12231477332649132,1.8301344262060946,-6.79796e-09,0.785398
[0.48324986],[2.79482576],[-1.75176321],0.06811607849049676,0.3937588994107606,-9.47601e-09,0.393759
[0.48324986],[2.79482577],[-1.67301143],0.5511071781785619,0.6230942837538564,2.29415e-08,0.623094
[0.48324986],[2.79482576],[-1.54839258],0.20291683498303079,2.958187661850472,-3.11791e-09,0.785398
[0.48324986],[2.79482576],[-1.39131294],0.08279362917279155,2.96716193033481,4.88308e-09,0.785398
[0.48324986],[2.79482576],[-1.23423331],0.4139213360767721,-2.603724256380505,1.72483e-08,-0.785398
[0.48324986],[2.79482576],[-1.39131294],0.4421311134320938,-1.276034714103517,-2.00196e-09,-0.785398
[0.48324986],[2.79482576],[-1.54839258],0.036138967865841344,1.1468417313788057,-3.30086e-08,0.785398
[0.48324986],[2.79482577],[-1.39131294],0.26299619026648746,-2.030980693158144,5.42849e-08,-0.785398
[0.48324986],[2.79482575],[-1.54839258],0.294474693845102,-1.533858651889987,-1.80309e-09,-0.785398
[0.48324986],[2.79482575],[-1.70547221],0.5028548778105959,-2.3992163373874513,8.49339e-10,-0.785398
[0.48324986],[2.79482575],[-1.86255185],0.5343170663664278,-0.6992819627047546,-3.54748e-10,-0.699282
[0.48324986],[2.79482575],[-2.00240824],0.48029383263806746,-1.241267815090658,-5.83207e-10,-0.785398
[0.48324986],[2.79482575],[-2.15948787],0.2895663174999127,-0.11784680279934845,-1.97691e-09,-0.117847
[0.48324986],[2.79482576],[-2.18305723],0.45344173214434375,2.5265631802874493,1.46038e-09,0.785398
[0.48324986],[2.79482575],[-2.0259776],0.5388528982845404,-0.5759873496249326,7.75661e-10,-0.575987
[0.48324986],[2.79482575],[-2.14117507],0.12678364575278708,0.5193321761705278,-7.82522e-09,0.519332
[0.48324986],[2.79482576],[-2.03730863],0.37022563659410973,1.732260887571373,7.38981e-09,0.785398
[0.48324986],[2.79482575],[-1.880229],0.5805631203943509,-1.2690982966446023,1.80851e-09,-0.785398
[0.48324986],[2.79482575],[-2.03730863],0.5459840350433723,-1.4238241906766878,-4.44827e-10,-0.785398
[0.48324986],[2.79482575],[-2.19438827],0.5966752541797274,2.4189029440901146,-5.00139e-11,0.785398
[0.48324986],[2.79482575],[-2.03730863],0.21417867969254875,-2.3601316475256926,-3.50226e-09,-0.785398
[0.48324986],[2.79482576],[-2.19438827],0.49453941105223087,-1.3543481471948176,2.68793e-09,-0.785398
[0.48324986],[2.79482575],[-2.3514679],0.5374000940700031,0.22412713278427576,1.01488e-11,0.224127
[0.48324986],[2.79482575],[-2.30664248],0.524697497518272,-1.4463769671196496,-1.26369e-11,-0.785398
[0.48324986],[2.79482575],[-2.46372211],0.5221195777190217,-3.0913238516904045,-1.63813e-10,-0.785398
[0.48324986],[2.79482575],[-2.62080175],0.534579752463803,2.4403695630263336,-3.13586e-12,0.785398
[0.48324986],[2.79482575],[-2.46372211],0.41901615623641153,-1.61933673352344,-5.62079e-10,-0.785398
[0.48324986],[2.79482575],[-2.62080175],0.49315642398688875,1.955941822365924,3.49742e-10,0.785398
[0.48324986],[2.79482575],[-2.46372211],0.259662457023972,-1.0807843831230155,-2.17504e-09,-0.785398
[0.48324986],[2.79482576],[-2.62080174],0.2206469847940431,-2.9618947240183813,-9.9224e-10,-0.785398
[0.48324986],[2.79482576],[-2.77788138],0.09536611771621563,0.2083014733152062,-7.80614e-09,0.208301
