x,y,theta,v_desired,omega_desired,v_safe,omega_safe
[0.57439314],[2.62430882],[-1.34034758],0.4885916633368467,1.4875846645322293,3.52721e-09,0.785398
[0.57439314],[2.62430882],[-1.18326795],0.4104857692242837,0.9586540657486733,1.4582e-09,0.785398
[0.57439314],[2.62430882],[-1.02618832],0.4945883035626518,0.7265695346720418,4.83265e-09,0.726567
[0.57439314],[2.62430882],[-0.88087496],0.2974332593398794,0.18599394897872124,0.297433,0.185994
[0.612255],[2.578427],[-0.84367617],0.038816479706263604,1.9649718266074165,0.0388165,0.785398
[0.61741543],[2.5726271],[-0.68659653],0.4838371343412363,-2.8559033368822018,0.483837,-0.785398
[0.69225613],[2.5112854],[-0.84367617],0.034968432796489646,2.157922176824173,0.0349684,0.785398
[0.69690498],[2.50606047],[-0.68659653],0.3829142946357472,-2.24232230865856,0.382914,-0.785398
[0.75613477],[2.45751394],[-0.84367617],0.5886866278588091,-0.22357043054837655,0.588687,-0.22357
[0.83439722],[2.36955336],[-0.88839025],0.07245280083422363,2.6180180033313007,0.0724528,0.785398
[0.84353587],[2.35830785],[-0.73131062],0.14603074410034517,-0.9539228577641707,0.146031,-0.785398
[0.865274],[2.33880265],[-0.88839025],0.3942663800613482,-0.6801150593861407,0.394266,-0.680115
[0.91500377],[2.27760797],[-1.02441326],0.18811723552939782,-1.5867094185956243,0.188117,-0.785398
[0.93455293],[2.24546214],[-1.18149289],0.4315643931372428,-0.2630400962220101,0.431564,-0.26304
[0.96731247],[2.16560774],[-1.23410091],0.15726009163545868,-1.0799423642089958,0.15726,-0.785398
[0.97770327],[2.1359217],[-1.39118054],0.5578866821284592,1.9689905162509351,0.557887,0.785398
[0.99763673],[2.02613939],[-1.23410091],0.09051970996513703,0.6717930903061995,0.0905197,0.671793
[1.00361772],[2.00905196],[-1.0997423],0.5544736796549906,-2.651983762658235,0.554474,-0.785398
[1.05394461],[1.91023472],[-1.25682193],0.4354655253409325,-1.628868329833901,0.022953,-0.785398
[1.05536237],[1.90586855],[-1.41390156],0.2997326152579977,-2.050841485026856,-1.98079e-09,-0.785398
[1.05536237],[1.90586855],[-1.5709812],0.26222546125396545,-2.911068704384935,1.04377e-09,-0.785398
[1.05536237],[1.90586855],[-1.72806083],0.2964250676249892,1.8464214062682673,-2.24893e-09,0.785398
[1.05536237],[1.90586855],[-1.5709812],0.06882459401934475,-1.3561510136717887,-1.55154e-08,-0.785398
[1.05536237],[1.90586855],[-1.72806083],0.09229347364083633,-2.8238402440792196,1.24871e-08,-0.785398
[1.05536237],[1.90586855],[-1.88514047],0.08677726099620572,1.2059418476604442,-1.05843e-08,0.785398
[1.05536238],[1.90586855],[-1.72806083],0.060781173936810394,1.7105505754597798,-1.42288e-08,0.785398
[1.05536238],[1.90586855],[-1.5709812],0.5256730609981164,1.3375980555507914,3.41335e-08,0.785398
[1.05536238],[1.90586855],[-1.41390157],0.45371886508855114,-2.905410307460221,2.03365e-10,-0.785398
[1.05536238],[1.90586855],[-1.5709812],0.4273980823617554,-1.425235272600798,-7.22498e-10,-0.785398
[1.05536238],[1.90586855],[-1.72806083],0.10724385579226033,-2.6428970321943757,-1.06915e-08,-0.785398
[1.05536238],[1.90586855],[-1.88514047],0.36969465399471474,1.6608326391408301,8.35317e-09,0.785398
[1.05536238],[1.90586855],[-1.72806083],0.15228661846651284,-1.1766289564258967,-4.49682e-09,-0.785398
[1.05536238],[1.90586855],[-1.88514047],0.45934005898300756,3.0847913129314843,4.65765e-09,0.785398
